Trial,Time BFS,Moves BFS,Time A*,Moves A*
1,0.0033071041107177734,"(44, 194, 298, 1.1792918979721582e-06)",0.08765482902526855,"(24, 2067, 3697, 1.1103199016477149e-05)"
2,0.022024154663085938,"(74, 1453, 2264, 1.1894601815159666e-06)",0.03187298774719238,"(22, 773, 1352, 8.645495014077813e-06)"
3,0.0049898624420166016,"(37, 309, 479, 1.1677035210276944e-06)",0.002048969268798828,"(19, 96, 147, 4.0531158447265625e-06)"
4,0.002767801284790039,"(38, 205, 312, 1.1187333327073318e-06)",0.0012142658233642578,"(16, 62, 99, 3.5064389007260102e-06)"
5,0.019381046295166016,"(78, 1276, 1961, 1.203399844950161e-06)",0.0654451847076416,"(26, 1626, 2994, 9.643370578029432e-06)"
6,0.001055002212524414,"(40, 82, 111, 1.0524784122501408e-06)",0.1162879467010498,"(26, 2673, 4889, 1.0559909498308742e-05)"
7,0.010851860046386719,"(44, 716, 1065, 1.1952270364537486e-06)",0.0287320613861084,"(22, 908, 1550, 8.726735268869707e-06)"
8,0.002234220504760742,"(37, 164, 242, 1.0571203941156057e-06)",0.08090496063232422,"(25, 1954, 3591, 1.0403840530552727e-05)"
9,0.011077880859375,"(56, 309, 483, 1.1279222634514912e-06)",0.017171859741210938,"(22, 588, 990, 7.455517547299164e-06)"
10,0.0076751708984375,"(62, 507, 756, 1.1987156338161892e-06)",0.19275975227355957,"(28, 3926, 7800, 1.1918789301163112e-05)"
11,0.024290084838867188,"(72, 1064, 1640, 1.1979079828029726e-06)",0.03742694854736328,"(24, 1128, 1967, 9.064390747815021e-06)"
12,0.0007407665252685547,"(28, 61, 82, 1.0699760623094513e-06)",0.0023832321166992188,"(16, 117, 172, 4.5063883759254636e-06)"
13,0.009794950485229492,"(41, 667, 1005, 1.1636250054658348e-06)",0.017367839813232422,"(21, 410, 681, 6.523776509513239e-06)"
14,0.005305051803588867,"(30, 365, 571, 1.0684993763938677e-06)",0.006342887878417969,"(18, 246, 406, 6.398543935691195e-06)"
15,0.007050991058349609,"(32, 478, 703, 1.1537695677148159e-06)",0.019199848175048828,"(22, 638, 1097, 7.920843313907425e-06)"
16,0.0025370121002197266,"(51, 168, 257, 1.131792476668896e-06)",0.010928153991699219,"(21, 390, 660, 6.719791527950402e-06)"
17,0.019092082977294922,"(72, 892, 1373, 1.2169245464994537e-06)",0.0403439998626709,"(24, 1209, 2139, 9.03883956759374e-06)"
18,0.008810281753540039,"(53, 220, 323, 1.1042544716282895e-06)",0.03480386734008789,"(25, 994, 1848, 8.874512338019037e-06)"
19,0.0055217742919921875,"(39, 378, 577, 1.1028408797609537e-06)",0.0002410411834716797,"(17, 20, 27, 1.0508078115957755e-06)"
20,0.017834901809692383,"(53, 748, 1149, 1.1514227114313058e-06)",0.009542226791381836,"(21, 355, 583, 6.253273572970827e-06)"
21,0.001734018325805664,"(48, 127, 185, 1.018111770217483e-06)",0.034394025802612305,"(24, 1021, 1839, 8.858436472458706e-06)"
22,0.0172426700592041,"(55, 716, 1112, 1.1569304431942726e-06)",0.05168795585632324,"(25, 1482, 2640, 9.566093936110988e-06)"
23,0.004426002502441406,"(53, 305, 464, 1.119642422117036e-06)",0.027676820755004883,"(23, 686, 1177, 7.91642862350736e-06)"
24,0.010324954986572266,"(52, 651, 1018, 1.1602412975138906e-06)",0.04669022560119629,"(24, 1187, 2065, 9.178711196123544e-06)"
25,0.001210927963256836,"(28, 93, 136, 1.0553528280819164e-06)",0.0009908676147460938,"(14, 60, 83, 3.3206250294145333e-06)"
26,0.009015083312988281,"(67, 609, 914, 1.1474872313651787e-06)",0.02390599250793457,"(23, 753, 1336, 8.003975816829475e-06)"
27,0.0043792724609375,"(58, 301, 469, 1.1016056735886694e-06)",0.012579917907714844,"(22, 419, 714, 7.990027676109507e-06)"
28,0.011631011962890625,"(37, 377, 570, 1.0900330125239856e-06)",0.21161293983459473,"(27, 4504, 8736, 1.1912304839808426e-05)"
29,0.002727985382080078,"(41, 159, 243, 1.1881683098435892e-06)",0.02092909812927246,"(23, 678, 1168, 7.90639282905892e-06)"
30,0.01403498649597168,"(43, 481, 730, 1.0820284281691459e-06)",0.0016591548919677734,"(17, 71, 111, 4.8263652904613595e-06)"
31,0.011402130126953125,"(53, 762, 1144, 1.1579140082939521e-06)",0.01522684097290039,"(23, 442, 831, 7.68419350671137e-06)"
32,0.009588956832885742,"(74, 591, 938, 1.1915845403284914e-06)",0.00999593734741211,"(22, 335, 606, 6.682015094820029e-06)"
33,0.01176595687866211,"(50, 359, 544, 1.1110130478354062e-06)",0.013321161270141602,"(22, 440, 766, 7.454159988124439e-06)"
34,0.007806062698364258,"(55, 531, 820, 1.1179505324945218e-06)",0.023214101791381836,"(25, 722, 1265, 8.047805002084363e-06)"
35,0.012706995010375977,"(48, 459, 707, 1.1175660129315108e-06)",0.013633012771606445,"(22, 441, 804, 7.127944509781415e-06)"
36,0.009402990341186523,"(35, 590, 976, 1.163267698444304e-06)",0.005324125289916992,"(19, 231, 349, 5.800607894416525e-06)"
37,0.0030961036682128906,"(44, 214, 321, 1.157184256200107e-06)",0.02978992462158203,"(22, 752, 1274, 8.336603173655655e-06)"
38,0.015197277069091797,"(44, 1006, 1531, 1.2307132793204759e-06)",0.010291814804077148,"(20, 386, 615, 7.070370805941946e-06)"
39,0.021992921829223633,"(56, 977, 1512, 1.1879931051264364e-06)",0.004086971282958984,"(20, 163, 267, 5.5702438068747076e-06)"
40,0.00847315788269043,"(83, 557, 838, 1.2268029989092332e-06)",0.003165006637573242,"(23, 126, 228, 4.4044695402446544e-06)"
41,0.015410900115966797,"(59, 1030, 1571, 1.1588569509990651e-06)",0.11040306091308594,"(25, 2525, 4621, 1.0813967125468944e-05)"
42,0.0029718875885009766,"(48, 211, 320, 1.1056661605834961e-06)",0.009698152542114258,"(20, 347, 584, 6.739407369535263e-06)"
43,0.003973245620727539,"(28, 270, 400, 1.1056661605834961e-06)",0.015403032302856445,"(22, 533, 886, 7.520410869245335e-06)"
44,0.007631778717041016,"(29, 491, 768, 1.134661336739858e-06)",0.04486513137817383,"(23, 1113, 2000, 9.220361709594727e-06)"
45,0.0011348724365234375,"(22, 88, 125, 1.0166168212890626e-06)",0.024457216262817383,"(22, 777, 1342, 8.347492814952322e-06)"
46,0.0029392242431640625,"(27, 215, 301, 1.0788242682270037e-06)",0.010342836380004883,"(21, 368, 626, 6.489479503692529e-06)"
47,0.008961200714111328,"(30, 205, 318, 1.079631301591981e-06)",0.012101888656616211,"(20, 450, 710, 7.2630358413911205e-06)"
48,0.004902839660644531,"(19, 303, 477, 1.1031232789877326e-06)",0.0038080215454101562,"(19, 149, 249, 4.814331790050828e-06)"
49,0.0075991153717041016,"(47, 494, 785, 1.1480537949094347e-06)",0.05316925048828125,"(23, 1392, 2390, 9.457735835757714e-06)"
50,0.012987852096557617,"(41, 814, 1310, 1.192456893338502e-06)",0.09668302536010742,"(25, 2320, 4411, 1.0608410624467552e-05)"
51,0.02194523811340332,"(49, 1051, 1549, 1.185320514952313e-06)",0.07988095283508301,"(25, 2026, 3603, 1.0123492412159517e-05)"
